level,rule,order_count,revenue
2,Day_of_Week=Sat and Total_Garment_bucket=bucket_1,73.0,20999.0
2,Day_of_Week=Sat and Total_Garment_bucket=bucket_2,48.0,22729.0
2,Day_of_Week=Sat and Total_Garment_bucket=bucket_3,87.0,29891.0
2,Day_of_Week=Sat and Total_Garment_bucket=bucket_5,72.0,43178.0
2,Day_of_Week=Sat and Service=Steam_Ironing,189.0,46833.0
2,Day_of_Week=Sat and Service=Wash_&_Iron_(Kg_Basis),41.0,23652.0
2,Day_of_Week=Sat and amount_bd_bin=bucket_2,77.0,25294.0
2,Day_of_Week=Sat and Does_pickup_charge_exist=N,94.0,33603.0
2,Day_of_Week=Sat and amount_bd_bin=bucket_4,29.0,24548.0
2,Day_of_Week=Sat and amount_bd_bin=bucket_3,52.0,26974.0
2,Day_of_Week=Sat and amount_bd_bin=bucket_5,20.0,35892.0
2,Day_of_Week=Sat and Total_Garment_bucket=bucket_4,76.0,24563.0
2,Day_of_Week=Sat and amount_bd_bin=bucket_1,178.0,28652.0
2,Day_of_Week=Sat and Does_pickup_charge_exist=Y,262.0,107757.0
2,Day_of_Week=Sat and Store_Name=BANASWADI,12.0,3699.0
2,Day_of_Week=Sat and Store_Name=DOMLUR,217.0,80424.0
2,Day_of_Week=Sat and Store_Name=HSR,89.0,43432.0
2,Day_of_Week=Sat and Store_Name=SARJAPUR,35.0,13189.0
2,Day_of_Week=Sun and Service=Wash_&_Fold_(Kg_Basis),78.0,22674.0
2,Day_of_Week=Sun and Service=Dry_Cleaning,94.0,55545.0
2,Day_of_Week=Sun and Does_delivery_charge_exist=N,142.0,48101.0
2,Day_of_Week=Sun and Payment_Mode=Online,515.0,187942.0
2,Day_of_Week=Sun and Does_delivery_charge_exist=Y,390.0,144723.0
2,Day_of_Week=Sun and Payment_Mode=Cash_to_store,17.0,4882.0
2,Day_of_Week=Sun and Service=Premium_Laundry,26.0,11704.0
2,Day_of_Week=Sun and Total_Garment_bucket=bucket_1,106.0,35311.0
2,Day_of_Week=Sun and Total_Garment_bucket=bucket_2,102.0,29379.0
2,Day_of_Week=Sun and Total_Garment_bucket=bucket_3,120.0,37599.0
2,Day_of_Week=Sun and Total_Garment_bucket=bucket_5,87.0,49912.0
2,Day_of_Week=Sun and Service=Steam_Ironing,205.0,50209.0
2,Day_of_Week=Sun and Service=Wash_&_Iron_(Kg_Basis),116.0,49752.0
2,Day_of_Week=Sun and amount_bd_bin=bucket_2,137.0,44722.0
2,Day_of_Week=Sun and Does_pickup_charge_exist=N,140.0,47819.0
2,Day_of_Week=Sun and amount_bd_bin=bucket_4,53.0,43175.0
2,Day_of_Week=Sun and amount_bd_bin=bucket_3,77.0,38868.0
2,Day_of_Week=Sun and amount_bd_bin=bucket_5,18.0,27295.0
2,Day_of_Week=Sun and Total_Garment_bucket=bucket_4,117.0,40623.0
2,Day_of_Week=Sun and amount_bd_bin=bucket_1,247.0,38764.0
2,Day_of_Week=Sun and Store_Name=AECS,16.0,9497.0
2,Day_of_Week=Sun and Does_pickup_charge_exist=Y,392.0,145005.0
2,Day_of_Week=Sun and Store_Name=BANASWADI,48.0,12562.0
2,Day_of_Week=Sun and Store_Name=DOMLUR,313.0,108037.0
2,Day_of_Week=Sun and Store_Name=HSR,119.0,46001.0
2,Day_of_Week=Sun and Store_Name=SARJAPUR,36.0,16727.0
2,Day_of_Week=Sun and Service=Wash_&_Iron,13.0,2940.0
2,Day_of_Week=Thu and Service=Wash_&_Fold_(Kg_Basis),173.0,49314.0
2,Day_of_Week=Thu and Service=Dry_Cleaning,169.0,113471.0
2,Day_of_Week=Thu and Does_delivery_charge_exist=N,307.0,108392.0
2,Day_of_Week=Thu and Payment_Mode=Online,956.0,342000.0
2,Day_of_Week=Thu and Does_delivery_charge_exist=Y,698.0,260811.0
2,Day_of_Week=Thu and Payment_Mode=Cash_to_store,38.0,19797.0
2,Day_of_Week=Thu and Service=Premium_Laundry,63.0,31944.0
2,Day_of_Week=Thu and Total_Garment_bucket=bucket_1,205.0,54438.0
2,Day_of_Week=Thu and Total_Garment_bucket=bucket_2,209.0,61515.0
2,Day_of_Week=Thu and Total_Garment_bucket=bucket_3,235.0,83189.0
2,Day_of_Week=Thu and Total_Garment_bucket=bucket_5,153.0,87819.0
2,Day_of_Week=Thu and Service=Steam_Ironing,362.0,79425.0
2,Day_of_Week=Thu and Service=Wash_&_Iron_(Kg_Basis),203.0,88749.0
2,Day_of_Week=Thu and amount_bd_bin=bucket_2,223.0,71725.0
2,Day_of_Week=Thu and Does_pickup_charge_exist=N,311.0,110031.0
2,Day_of_Week=Thu and amount_bd_bin=bucket_4,82.0,70005.0
2,Day_of_Week=Thu and amount_bd_bin=bucket_3,135.0,68424.0
2,Day_of_Week=Thu and amount_bd_bin=bucket_5,41.0,78397.0
2,Day_of_Week=Thu and Total_Garment_bucket=bucket_4,203.0,82242.0
2,Day_of_Week=Thu and amount_bd_bin=bucket_1,524.0,80652.0
2,Day_of_Week=Thu and Store_Name=AECS,20.0,10237.0
2,Day_of_Week=Thu and Does_pickup_charge_exist=Y,694.0,259172.0
2,Day_of_Week=Thu and Store_Name=BANASWADI,62.0,16468.0
2,Day_of_Week=Thu and Store_Name=DOMLUR,660.0,231986.0
2,Day_of_Week=Thu and Store_Name=HSR,182.0,77403.0
2,Day_of_Week=Thu and Store_Name=SARJAPUR,81.0,33109.0
2,Day_of_Week=Thu and Service=Wash_&_Iron,35.0,6300.0
2,Day_of_Week=Tue and Service=Wash_&_Fold_(Kg_Basis),151.0,44862.0
2,Day_of_Week=Tue and Service=Dry_Cleaning,125.0,86423.0
2,Day_of_Week=Tue and Does_delivery_charge_exist=N,228.0,80133.0
2,Day_of_Week=Tue and Payment_Mode=Online,728.0,261463.0
2,Day_of_Week=Tue and Does_delivery_charge_exist=Y,537.0,201349.0
2,Day_of_Week=Tue and Payment_Mode=Cash_to_store,33.0,18534.0
2,Day_of_Week=Tue and Service=Premium_Laundry,53.0,24584.0
2,Day_of_Week=Tue and Total_Garment_bucket=bucket_1,154.0,38263.0
2,Day_of_Week=Tue and Total_Garment_bucket=bucket_2,152.0,52151.0
2,Day_of_Week=Tue and Total_Garment_bucket=bucket_3,182.0,56747.0
2,Day_of_Week=Tue and Total_Garment_bucket=bucket_5,118.0,74486.0
2,Day_of_Week=Tue and Service=Steam_Ironing,239.0,54375.0
2,Day_of_Week=Tue and Service=Wash_&_Iron_(Kg_Basis),170.0,66168.0
2,Day_of_Week=Tue and amount_bd_bin=bucket_2,192.0,63011.0
2,Day_of_Week=Tue and Does_pickup_charge_exist=N,225.0,79096.0
2,Day_of_Week=Tue and amount_bd_bin=bucket_4,59.0,49691.0
2,Day_of_Week=Tue and amount_bd_bin=bucket_3,108.0,54793.0
